name,ra,dec,diameter,mag,alias
NGC447,18.90792,33.066389,2.2,14,IC1656
NGC448,18.818745,-1.625278,1.6,12.1,
NGC449,19.03125,33.088889,0.8,14.2,
NGC450,18.87666,-0.861389,3,11.8,
NGC451,19.051665,33.063611,0.7,14,IC1661
NGC452,19.062495,31.033333,2.5,12.5,
NGC453,19.07208,33.014722,,,
NGC454_1,18.589995,-55.400556,1.7,12.2,
NGC454_2,18.60333,-55.397222,1,13.7,
NGC455,18.99,5.178333,2,12.7,
NGC456,18.44166,-73.291667,15,,
NGC457,19.887495,58.295,20,6.4,
NGC458,18.715005,-71.551111,1.5,,
NGC459,19.53417,17.5625,0.7,14.4,
NGC460,18.658335,-73.291667,1,12.5,
NGC461,19.33458,-33.841111,1.2,13.3,
NGC462,19.54542,4.226389,0.4,14.7,
NGC463,19.742505,16.325278,1,14.1,
NGC464,19.86084,34.955833,,,
NGC465,18.927915,-73.324167,2,11.5,
NGC466,19.306245,-58.909722,1.7,12.7,
NGC467,19.79208,3.301389,1.7,11.8,
NGC468,19.951665,32.767222,0.7,14.3,IC92
NGC469,19.887495,14.871944,0.7,14.1,
NGC470,19.936665,3.409167,2.9,11.8,
NGC471,19.99833,14.785833,1,13.3,
NGC472,20.120415,32.708333,1.3,13.3,
NGC473,19.978755,16.545,1.9,12.5,
NGC474,20.02791,3.416111,7.1,11.5,
NGC475,20.007915,14.861667,0.4,15,IC97
NGC476,20.082495,16.020556,0.5,14.4,
NGC477,20.334585,40.488611,1.5,13,
NGC478,20.03709,-22.378056,0.9,13.9,
NGC479,20.315415,3.862778,1.1,13.9,
NGC480,20.142915,-9.880278,0.5,15.2,
NGC481,20.3025,-9.211111,1.3,13.3,
NGC482,20.085,-40.966111,2.2,13.3,
NGC483,20.484585,33.520556,0.7,13.2,
NGC484,19.894995,-58.524444,1.9,11.1,
NGC485,20.364585,7.018056,1.8,13.2,
NGC486,20.42916,5.346389,0.2,15,
NGC487,20.47917,-16.37,1.1,13.4,
NGC488,20.44416,5.255833,5.4,10.3,
NGC489,20.47416,9.206389,1.7,12.7,
NGC490,20.51166,5.367778,0.7,14.4,
NGC491,20.334165,-34.063611,1.4,12.5,
NGC491A,20.02083,-33.900556,1.9,13.8,
NGC492,20.556255,5.416944,0.7,15.6,
NGC493,20.53833,0.946389,3.4,12.5,
NGC494,20.73084,33.172778,2,12.9,
NGC495,20.73333,33.470833,1.2,12.9,
NGC496,20.79834,33.528056,1.6,13.4,
