name,ra,dec
LdN-1367,2.529907,+61.304214
LdN-1368,2.546761,+61.386804
LdN-1369,2.563545,+61.386057
LdN-1370,2.529215,+60.470898
LdN-1371,2.57976,+60.71865
LdN-1372,2.630674,+61.383023
LdN-1373,2.630528,+61.216359
LdN-1374,2.577943,+58.385361
LdN-1375,2.747683,+60.877568
LdN-1376,2.730615,+60.545032
LdN-1377,3.250943,+61.018633
LdN-1378,3.248581,+60.335413
LdN-1379,3.258654,+60.351533
LdN-1380,3.26181,+60.151355
LdN-1381,3.275282,+60.217289
LdN-1382,3.283516,+60.066838
LdN-1383,3.300306,+60.099253
LdN-1384,3.333741,+60.014074
