name,ra,dec,diameter,mag,alias
IC568,147.784995,15.730556,1.7,13.5,
IC569,147.86709,10.920556,0.4,14.1,
IC570,147.962085,15.756111,0.5,14.8,
IC571,148.131255,15.775278,1,15.1,
IC572,148.13667,15.8275,0.5,14.8,
IC573,148.400415,-12.482222,1.3,13.5,NGC3058
IC574,148.6125,-6.952778,1.3,13.7,
IC575,148.637085,-6.857222,1.2,13.2,
IC576,148.779165,11.04,0.3,14.3,
IC577,149.01666,10.498889,0.6,14,
IC578,149.06709,10.486389,1.2,13.9,
IC579,149.16417,-13.774444,1.3,13.9,
IC580,149.48625,10.432778,0.8,14.2,NGC3069
IC581,149.547915,15.9475,1,14.1,
IC582,149.750835,17.816944,0.9,14,
IC583,149.77083,17.821111,0.9,14.5,
IC584,149.77125,10.361111,0.4,14.6,
IC585,149.933745,12.989167,1.3,13.4,
IC586,149.95917,-6.922222,0.6,13.5,
IC587,150.77166,-2.399722,1.3,13.4,
IC588,150.52917,3.058333,0.7,13.7,
IC589,151.09917,-5.678333,0.7,14.5,
IC590_1,151.456665,0.633056,1,13.8,
IC590_2,151.459995,0.631667,0.6,13.5,
IC591,151.864995,12.274167,1,13.2,
IC592,151.99458,-2.498889,0.8,13.4,
IC593,152.074995,-2.526667,0.7,13.6,
IC594,152.13291,-0.666111,1.1,13.8,
IC595,152.408745,11.000833,0.5,14,
IC596,152.630415,10.041667,0.9,14.9,
IC597,152.54958,-6.898611,0.8,15,
IC598,153.20208,43.145556,1.4,13,
IC599,153.301665,-5.628889,1.1,14.3,
